ID	Race	Grades	Sex	Name	Desc	BeginYear	Perception	Physique	Charisma	Intelligence	Luck	Fight	Qi	SocialContact	Medicine	Cooking	Building	Farming	Mining	Art	Manual	DouFa	DanQi	Fabao	FightSkill	Barrier	F1	F2	F3	F4	F5	F6
ID	种族	阶段 0童年 1成年 2重大事件 	性别 0均可 1男 2女	名字	描述	触发开始年份	感知	体质	魅力	悟性	运气	战斗	气感	社交 （所有技能等级后面可以附加,X。X为热爱程度 1为热爱 2为痴迷）	医术	厨艺	建筑	农事	采掘	艺术	制造	斗法	丹器	御物	术法	护体	特性1	特性2	特性3	特性4	特性5	特性6
9000001	Human	0	0	重生之命	[NAME]因用阳神夺取了别人的身体，从而进入了一个全新的世界。	-1																										
9000002	Human	0	0	散仙之子	[NAME]出生在一个隐居的散仙之家，据说[IT]出生就会施展一些小法术。	-1																										
9000003	Human	0	0	轮回之命	[NAME]总感觉自己又双叒活了一次，虽然[IT]还没有找到证据，但很多时候都感觉曾经经历过。	-1																										
9000004	Human	0	0	大难不死	[NAME]出生时差点死于难产，幸运的是[IT]无意中咬断了脐带，把自己救活了，但是也因此把脐带中带给[IT]的灵根之气给咬废了。	-1																										
9000010	Human	0	0	测试	[NAME]测试。	-1	-10	-10	-10	-10	-10	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110						


9100001	Human	1	0	墨仙谷传人	[NAME]因儿时贪玩进入墨仙谷禁地,误打误撞中得到墨仙谷一派秘传功法,从而获得无上传承,自此气运奇佳,奇遇连连。	-1	10	10	10	10	10	110,2	110,2	110,2	110,2	110,2	110,2	110,2	110,2	110,2	110,2	110,2	110,2	110,2	110,2	110,2	SonOfDestiny	Retarded	LunHui_37	DragonBlood	Anatman	
9100002	Human	1	0	墨仙谷长老	[NAME]曾同墨仙谷祖师爷一同开山立派,不但功法了得,为人也很和善,但唯独对丹器可是一窍不通。	-1	10	10	10	10	10	110,2	110	110	110	110	110	110	110	110	110	110,2	1	110,2	110,2	110,2						
9100003	Human	1	0	墨仙谷丹师	[NAME]是墨仙谷祖师爷生前最得力的炼器师之一,虽然有点粗心大意,但是一说到炼器那可是无人不服的。	-1	10	10	10	10	10	110	110	110	110	110	110	110	110	110	110	20	110,2	20	20	20						
9100004	Human	1	0	墨仙谷器师	[NAME]是墨仙谷祖师爷生前最得力的炼丹师之一,虽然为人爱斤斤计较,但是炼丹之术毫不在祖师爷之下。	-1	10	10	10	10	10	110	110	110	110	110	110	110	110	110	110	20	110,2	20	20	20						
9100005	Human	1	0	墨仙谷书童	[NAME]因常伴墨仙谷祖师左右照顾其饮食起居,这才练就一副好腿,做事勤快,手脚麻利,洗衣叠被,那是样样精通,就是修仙一途愚钝不堪。	-1	3	3	3	3	3	110,2	110,2	110,2	110,2	110,2	110,2	110,2	110,2	110,2	110,2	10	10	10	10	10						
9100006	Human	1	0	墨仙谷弟子	[NAME]因无意中闯入墨仙谷宗门地界，又正好被墨仙谷祖师爷看中其根骨天赋，因此拜入墨仙谷门下。	-1	8	8	8	8	8	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110						
9100010	Human	1	0	测试	[NAME]测试。	-1																										



9200001	Human	2	0	轮回者	[NAME]的魂魄来自遥远的异界，因命运的召唤降临此界。虽然死亡与轮回能洗去[ITS]记忆，但是每次重生，命运都会指引[IT]走上相似的道路。	-1																										
9200002	Human	2	0	夺舍中	[NAME]用阳神夺取了别人的身体，不知道这具身体还能撑多久。	-1																										
9200003	Human	2	0	无灵根	[NAME]从小就没有灵根属性，恐怕[IT]这辈子也很难修炼了。	-1																										
9200010	Human	2	0	测试	[NAME]测试。	-1																										


