ID	IsHide	LastName	FristName	Desc	Sex	Age	BodyType	Hair	Beard	ClothesStuff	BodyColor	BackStory1	BackStory2	BackStory3	Feature1	Feature2	Feature3	Experience1	Experience2	Experience3	Experience4	Relation1	Relation2	Relation3
ID	"是否隐藏1 不参与随机但参与创建
2 不参与随机也不参与创建"	姓	名	轮回者来源	性别(1男2女)	年龄	身体类型(1正常2壮3胖)	头发ID	胡须ID	衣服主材料	肤色(正常0白1黑2黄3)	背景故事1	背景故事2	背景故事3	附加特性1	附加特性2	附加腾特性3	经历1	经历2	经历3	经历4	关系1(ID|NAME)	关系2(ID|NAME)	关系3(ID|NAME)
100000001	1	墨	妃	MOD	2	16	1	1			1	9000003	9100001	9200001				CeShi						
100000002	1	墨	太虚	MOD	2	16	1	2			2	9000001	9100006	9200002	XiaoYuZhouBaoFa			Experiences1G2_1				100000001|Friend		
100000003	1	墨	太极	MOD	2	16	1	3			3	9000001	9100006	9200002	XiaoYuZhouBaoFa			Experiences1G2_1				100000001|Friend		
100000004	1	墨	伏羲	MOD	2	16	1	4			0	9000001	9100006	9200002	XiaoYuZhouBaoFa			Experiences1G2_2				100000001|Friend		
100000005	1	墨	女娲	MOD	2	16	1	5			1	9000001	9100006	9200002	XiaoYuZhouBaoFa			Experiences1G1_2				100000001|Friend		
100000006	1	墨	神农	MOD	2	16	1	1			2	9000001	9100006	9200002	XiaoYuZhouBaoFa			Experiences1G2_2				100000001|Friend		
100000007	1	墨	洪荒	MOD	2	16	1	2			3	9000001	9100006	9200002	XiaoYuZhouBaoFa			Experiences1G2_3				100000001|Friend		
100000008	1	墨	星芒	MOD	2	16	1	3			0	9000001	9100006	9200002	XiaoYuZhouBaoFa			Experiences1G2_3				100000001|Friend		
100000009	1	墨	凌霄	MOD	2	16	1	4			1	9000001	9100006	9200002	XiaoYuZhouBaoFa			Experiences1G2_3				100000001|Friend		
100000010	1	墨	玄冥	MOD	2	16	1	5			2	9000001	9100006	9200002	XiaoYuZhouBaoFa			Experiences1G2_5				100000001|Friend		
100000011	1	墨	太阴	MOD	2	16	1	1			3	9000001	9100006	9200002	XiaoYuZhouBaoFa			Experiences1G2_5				100000001|Friend		
100000012	1	墨	九幽	MOD	2	16	1	2			0	9000001	9100006	9200002	XiaoYuZhouBaoFa			Experiences1G2_5				100000001|Friend		
100000013	1	墨	无量	MOD	2	16	1	3			1	9000001	9100006	9200002	XiaoYuZhouBaoFa			Experiences1G2_4				100000001|Friend		
100000014	1	墨	万象	MOD	2	16	1	4			2	9000001	9100006	9200002	XiaoYuZhouBaoFa			Experiences1G2_4				100000001|Friend		
100000015	1	墨	逍遥	MOD	2	16	1	5			3	9000001	9100006	9200002	XiaoYuZhouBaoFa			Experiences1G2_4				100000001|Friend		
100000016	1	墨	武穆	MOD	2	16	1	1			0	9000001	9100006	9200002	XiaoYuZhouBaoFa			Experiences1G2_6				100000001|Friend		
100000017	1	墨	身残	MOD	2	16	1	2			1	9000001	9100006	9200002	XiaoYuZhouBaoFa			Experiences1G2_6				100000001|Friend		
100000018	1	墨	天书	MOD	2	16	1	3			2	9000001	9100006	9200002	XiaoYuZhouBaoFa			Experiences1G2_6				100000001|Friend		
100000019	1	墨	九天	MOD	2	16	1	3			2	9000001	9100006	9200002	XiaoYuZhouBaoFa			Experiences1G2_6				100000001|Friend		



100000020	1	墨	琴	MOD	2	18	1	1			1	9000004	9100005	9200003	XiaoYuZhouBaoFa			Experiences1G2_1				100000001|Friend		
100000021	1	墨	棋	MOD	2	18	1	2			2	9000004	9100005	9200003	XiaoYuZhouBaoFa			Experiences1G2_1				100000001|Friend		
100000022	1	墨	书	MOD	2	18	1	3			3	9000004	9100005	9200003	XiaoYuZhouBaoFa			Experiences1G2_1				100000001|Friend		
100000023	1	墨	画	MOD	2	18	1	4			0	9000004	9100005	9200003	XiaoYuZhouBaoFa			Experiences1G2_1				100000001|Friend		
100000024	1	墨	梅	MOD	2	18	1	5			1	9000004	9100005	9200003	XiaoYuZhouBaoFa			Experiences1G2_1				100000001|Friend		
100000025	1	墨	兰	MOD	2	18	1	1			2	9000004	9100005	9200003	XiaoYuZhouBaoFa			Experiences1G2_1				100000001|Friend		
100000026	1	墨	竹	MOD	2	18	1	2			3	9000004	9100005	9200003	XiaoYuZhouBaoFa			Experiences1G2_1				100000001|Friend		
100000027	1	墨	菊	MOD	2	18	1	3			0	9000004	9100005	9200003	XiaoYuZhouBaoFa			Experiences1G2_1				100000001|Friend		
100000028	1	墨	春	MOD	2	18	1	4			1	9000004	9100005	9200003	XiaoYuZhouBaoFa			Experiences1G2_1				100000001|Friend		
100000029	1	墨	夏	MOD	2	18	1	5			2	9000004	9100005	9200003	XiaoYuZhouBaoFa			Experiences1G2_1				100000001|Friend		
100000030	1	墨	秋	MOD	2	18	1	1			3	9000004	9100005	9200003	XiaoYuZhouBaoFa			Experiences1G2_1				100000001|Friend		
100000031	1	墨	冬	MOD	2	18	1	2			0	9000004	9100005	9200003	XiaoYuZhouBaoFa			Experiences1G2_1				100000001|Friend		




100000099	1	测试	人物	测试	2	20	1	1			1	9000010	9100010	9200010				CeShi09						
