ID	Name	Place	Once	Story	Auto	Begin	Duration	Interval	Desc	EndDesc	Hide
	名字	对应地点 多个用|隔开 获取时随机	只触发一次	对应的故事	自动触发	开始时间 天	持续时间 天	间隔 从触发开始算	描述	结束描述	隐藏触发 默认为0
901	江湖秘闻	Place_MoXianGu_1		MoXianGu_YiJi_2	0		3		据江湖传闻，[TXT]有一处残破洞府现世，不知道里面有什么宝贝呢？	也许注定与[TXT]的洞府无缘，只能任天下豪杰去瓜分了。	

902	江湖秘闻	Place_BaiCaoGu_1		BaiCaoGu_YiJi_2	0		3		据江湖传闻，[TXT]有一处残破洞府现世，不知道里面有什么宝贝呢？	也许注定与[TXT]的洞府无缘，只能任天下豪杰去瓜分了。	

903	江湖秘闻	Place_YuJianShanZhuang_1		YuJianShanZhuang_YiJi_2	0		3		据江湖传闻，[TXT]有一处残破洞府现世，不知道里面有什么宝贝呢？	也许注定与[TXT]的洞府无缘，只能任天下豪杰去瓜分了。	

904	江湖秘闻	Place_XiaoYaoFeng_1		XiaoYaoFeng_YiJi_2	0		3		据江湖传闻，[TXT]有一处残破洞府现世，不知道里面有什么宝贝呢？	也许注定与[TXT]的洞府无缘，只能任天下豪杰去瓜分了。	

905	江湖秘闻	Place_YouMingDian_1		YouMingDian_YiJi_2	0		3		据江湖传闻，[TXT]有一处残破洞府现世，不知道里面有什么宝贝呢？	也许注定与[TXT]的洞府无缘，只能任天下豪杰去瓜分了。	

906	墨仙谷秘闻	Place_MoXianGu_1		MoXianGu_YiJi_1	1	101	3	112	江岸沃野的一处隐秘荒废之地，影影约约可以感到有灵气流动，据传言这曾是上古法术宗门【墨仙谷】的开山立派之地，曾有无数散修想来此处碰碰运气，说不得就掉下山崖，获得【绝世神功】呢？	据江湖传闻，一说【墨仙谷】一派早已全部羽化，洞府应在江岸沃野深处，内有无数珍宝，令人遐迩；一说【墨仙谷】一脉仍悄然隐居，门内天材地宝已所剩无几，不足道矣…	

907	百草谷秘闻	Place_BaiCaoGu_1		BaiCaoGu_YiJi_1	1	102	3	112	南荒多生草木，盛产天材地宝，往之者多修道，亦有山民皆复姓，若询其源皆缄默不语，熟道者笑言丹宗其后，不敢罪也！也不知所言丹宗与上古炼丹宗门【百草谷】是否同出一脉？	据江湖传闻，一笑说若得遇【身残志坚】之辈，切莫轻视，恐是【百草谷】门人矣，说不得日后有求于子；一笑说后世丹法皆有【百草谷】之影，乃得功于当年其门下长老，教百家炼丹之法，损己利人罢…	

908	御剑山庄秘闻	Place_YuJianShanZhuang_1		YuJianShanZhuang_YiJi_1	1	103	3	112	中原腹地的一处静谧庄园，虽已年久失修，但仍可见其庄严大气之象，想必其主人曾是一方富甲，不知是否与上古炼器宗门【御剑山庄】有所联系呢？	据江湖传闻，一说御剑山庄祖师【龙潇飒】早已看破红尘，切断红尘得道升仙；一说大弟子【娄刚】一手策划，先调离祖师，后刺杀堂主【万无道】，窃走【凌霄器宗真法】口诀，寻其他堂主【熊猫猫】【关钦艺】刺杀未果，易容后逃窜至南方…

909	逍遥峰秘闻	Place_XiaoYaoFeng_1		XiaoYaoFeng_YiJi_1	1	104	3	112	大雪原本是异象多出之地，多有行者踏迹于此，常见有仙子飞绕于数座天城之上，乃猜测此地恐是上古符篆宗门【逍遥峰】山门所在，只是百般寻觅仍不得线索，只叹是福缘未至吧！	据江湖传闻，一说【逍遥峰】当年惧怕【天化异象】，定是知道些内情，说不得见过仙人降灾；一说【逍遥峰】虽然隐去，但凡去过【大雪原】之人，都说此宗依旧存在，以此警示天下…	

910	幽冥殿秘闻	Place_YouMingDian_1		YouMingDian_YiJi_1	1	105	3	112	大漠之中，人迹罕至，但仍不乏迷途之辈，虽经百般磨难终是大难不死，而得以苟活，却也神识不清，语无伦次，逢人便说大漠之中有一处宝地，乃上古邪功宗门【幽冥殿】是也！疯癫之语实教人难信。	据江湖传闻，一说并无【幽冥殿】此等邪教，不过是当今邪道为自己造势而编的传说，不足为虑；一说根本就没有【霍神通】这一号人物，说不得是某个魔头，故意放出此人名，好疑惑世人，方便魔头躲避正道追杀，切不要中了魔教的道也…	

921	异界秘闻	Place_YiJieLieFeng		WMYS_A	0		3		据江湖传闻，在[TXT]中有一处奇怪的遗址，不知道是不是和什么秘密有关呢？	[TXT]的秘密已经被一位古修所获取，离开[TXT]后便销声匿迹了。	
922	异界秘闻	Place_YiJieLieFeng	1	WMYS_1			99999		据【武穆遗册 * 卷一】记载，[TXT]深处似乎隐藏着一个秘密，但是过去这么久了，谁又知道是真是假呢？	[TXT]的秘密已经被一位古修所获取，离开[TXT]后便销声匿迹了。	
923	异界秘闻	Place_YiJieLieFeng	1	WMYS_2			99999		据【武穆遗册 * 卷二】记载，[TXT]深处似乎隐藏着一个秘密，但是过去这么久了，谁又知道是真是假呢？	[TXT]的秘密已经被一位古修所获取，离开[TXT]后便销声匿迹了。	
924	异界秘闻	Place_YiJieLieFeng	1	WMYS_3			99999		据【武穆遗册 * 卷三】记载，[TXT]深处似乎隐藏着一个秘密，但是过去这么久了，谁又知道是真是假呢？	[TXT]的秘密已经被一位古修所获取，离开[TXT]后便销声匿迹了。	
925	异界秘闻	Place_YiJieLieFeng	1	WMYS_4			99999		据【武穆遗册 * 卷四】记载，[TXT]深处似乎隐藏着一个秘密，但是过去这么久了，谁又知道是真是假呢？	[TXT]的秘密已经被一位古修所获取，离开[TXT]后便销声匿迹了。	
926	残卷踪迹	Place_YuJianShanZhuang_1		YJSZ_1	0		3		据江湖传闻，曾经有人从[TXT]中发掘出多本记录着【御剑山庄】御剑之术的残卷，一时间竟引得八方修行者汇聚于[TXT]。	[TXT]出土的残卷已被某位修行者捷足先登。	
927	残卷踪迹	Place_MoXianGu_1		MXG_1	0		3		据江湖传闻，曾经有人从[TXT]中发掘出多本记录着【墨仙谷】秘法之道的残卷，一时间竟引得八方修行者汇聚于[TXT]。	[TXT]出土的残卷已被某位修行者捷足先登。	
928	残卷踪迹	Place_BaiCaoGu_1		BCG_1	0		3		据江湖传闻，曾经有人从[TXT]中发掘出多本记录着【百草谷】炼丹之法的残卷，一时间竟引得八方修行者汇聚于[TXT]。	[TXT]出土的残卷已被某位修行者捷足先登。	
929	残卷踪迹	Place_XiaoYaoFeng_1		XYF_1	0		3		据江湖传闻，曾经有人从[TXT]中发掘出多本记录着【逍遥峰】符篆之法的残卷，一时间竟引得八方修行者汇聚于[TXT]。	[TXT]出土的残卷已被某位修行者捷足先登。	

961	集市开启	Place_CunLuo_01		XXZS_CS	1	21	7	28	听说[TXT]附近人潮涌动，车水马龙，应是此处有大型集市出现，一时间竟引得各地人士汇集于此。	在[TXT]举行了七日之久的集市终究是结束了，而那些没赶到集市的人们只能无奈散去。	
961	集市疑云	Place_CunLuo_01	1	XXZS_CS	1	217		99999	听说了吗？集市的老板们都不知去向了！听说集市现在都乱套了！据说好多人都去集市抢掠，只为了报当年的一箭之仇！	据传，集市的老板们突然又回来了，看来某些人是没机会报仇了。	

971	上古道统	Place_MoXianGu_1		MoXianGu_1	0		3		听说[TXT]白日星坠，地涌金莲，疑有上古法宗的道统即将出世，引八方修行者汇聚。	一名神秘修行者获得了上古法宗的道统。	
972	上古道统	Place_MoXianGu_1		MoXianGu_2	0		3		听说[TXT]白日星坠，地涌金莲，疑有上古丹宗的道统即将出世，引八方修行者汇聚。	一名神秘修行者获得了上古丹宗的道统。	
973	上古道统	Place_MoXianGu_1		MoXianGu_3	0		3		听说[TXT]白日星坠，地涌金莲，疑有上古法宗的道统即将出世，引八方修行者汇聚。	一名神秘修行者获得了上古法宗的道统。	
974	上古道统	Place_BaiCaoGu_1		BaiCaoGu_1	0		3		听说[TXT]白日星坠，地涌金莲，疑有上古法宗的道统即将出世，引八方修行者汇聚。	一名神秘修行者获得了上古法宗的道统。	
975	上古道统	Place_BaiCaoGu_1		BaiCaoGu_2	0		3		听说[TXT]白日星坠，地涌金莲，疑有上古丹宗的道统即将出世，引八方修行者汇聚。	一名神秘修行者获得了上古丹宗的道统。	
976	上古道统	Place_BaiCaoGu_1		BaiCaoGu_3	0		3		听说[TXT]白日星坠，地涌金莲，疑有上古丹宗的道统即将出世，引八方修行者汇聚。	一名神秘修行者获得了上古丹宗的道统。	
977	上古道统	Place_BaiCaoGu_1		BaiCaoGu_4	0		3		听说[TXT]白日星坠，地涌金莲，疑有上古丹宗的道统即将出世，引八方修行者汇聚。	一名神秘修行者获得了上古丹宗的道统。	
978	上古道统	Place_YuJianShanZhuang_1		YuJianShanZhuang_1	0		3		听说[TXT]白日星坠，地涌金莲，疑有上古器宗的道统即将出世，引八方修行者汇聚。	一名神秘修行者获得了上古器宗的道统。	
