ID	Kind	Name	WorldFlag	Weight	NpcStay	UnLockLevel	PopTip	Desc	ClassName	sParam1	fParam1	sParam2	fParam2	sParam3	fParam3	sParam4	fParam4
ID	类型 空：被动触发	名字	对WorldFlag的要求		会有NPC残留地图 1为门派1 2为门派2 3为胜利方	解锁等级	事件发生时弹出默认提示 0不开 1开启 	介绍	类名	胜利字符串	好感变化 实力变化	失败字符串	实力变化	PowerCheck 实力判断成功 AddElder新增长老 DelElder失去长老		发生地点	反向箭头
67900	SchoolSocialGood	正向社交		1		4		据传{0}的弟子在{1}附近游历时，遇到了一名{1}的长老。{1}的长老见{0}的弟子根骨不错，便为其指点了一些阵法之道，{0}的弟子感觉受益良多。此事亦在修行界传为美谈，两派的关系也因此略有提升。	EventSocial		50						
67901	SchoolSocialGood	正向社交		1		4		据传{0}的长老在{1}附近游历时，遇到了一名{1}的弟子。{0}的长老见{1}的弟子根骨不错，便为其指点了一些阵法之道，{0}的弟子感觉受益良多。此事亦在修行界传为美谈，两派的关系也因此略有提升。	EventSocial		50						
67902	SchoolSocialGood	正向社交		1		4		据传{0}的弟子曾到访过{1}的山门，恰逢一名{1}的弟子，两人一见钟情，愿长相厮守，结为道侣。正巧{1}的掌门也愿意成就这段良缘，也就随了他俩的心愿。此事在修行界传为一段佳话，两派的关系也因此略有提升。	EventSocial		90						
67903	SchoolSocialGood	正向社交		1		4		据传{0}的长老曾到访过{1}的山门，恰逢一名{1}的长老，两人一见钟情，愿长相厮守，结为道侣。正巧{1}的掌门也愿意成就这段良缘，也就随了他俩的心愿。此事在修行界传为一段佳话，两派的关系也因此略有提升。	EventSocial		90						



67920	SchoolSocialBad	反向社交		1		4		据传{0}的弟子在{1}附近游历时，曾被{1}的掌门邀请为座上宾，最后不知何故，却殒身于火铜房内。{0}得此消息后，门派上下极为震怒，{0}发动大量弟子攻向{1}的门派所在地，双方在此鏖战数日，搅动数百里方圆天象崩乱，修行界为之震动。	EventSocial	占据先手之利，{0}最终胜利，其门下弟子亦从斗法中多有提升突破，门派实力大涨。{1}却损失惨重，门派实力大损。此役之后，两派的关系也大大恶化了。	-100	占据地利背靠山门之故，{1}最终胜利，其门下弟子亦从斗法中多有提升突破，门派实力大涨。{0}却损失惨重，门派实力大损。此役之后，两派的关系也大大恶化了。	2000	PowerCheck			
67921	SchoolSocialBad	反向社交		1		4		据传{0}的长老在{1}附近游历时，曾被{1}的掌门邀请为座上宾，最后不知何故，却殒身于火铜房内。{0}得此消息后，门派上下极为震怒，{0}发动大量弟子攻向{1}的门派所在地，双方在此鏖战数日，搅动数百里方圆天象崩乱，修行界为之震动。	EventSocial	占据先手之利，{0}最终胜利，其门下弟子亦从斗法中多有提升突破，门派实力大涨。{1}却损失惨重，门派实力大损。此役之后，两派的关系也大大恶化了。	-150	占据地利背靠山门之故，{1}最终胜利，其门下弟子亦从斗法中多有提升突破，门派实力大涨。{0}却损失惨重，门派实力大损。此役之后，两派的关系也大大恶化了。	3000	PowerCheck			



67930	SchoolPowerUp	实力上升		1		4		据传{0}门中一弟子{1}外出历练时，偶然获得上古传承，修为大涨，一连突破数个大境界。{0}掌门大喜过望，将其拜为长老，以激励门下弟子修行。{0}再添一名大能。	EventPower				2000	AddElder	1		
67931	SchoolPowerUp	实力上升		1		4		据传{0}的掌门曾秘密点拨一名弟子{1}，出关之后，该弟子已突破至元神境大圆满，门派上下皆欢欣鼓舞。{0}再添一名大能。	EventPower				3000	AddElder	1		
67932	SchoolPowerUp	实力上升		1		4		据传{0}门中一精英弟子{1}在感悟天地大道时，偶然进入太虚定境中，等到出定之时，修为已是在世真仙，{0}掌门深感欣慰，将其纳入长老会中。{0}再添一名大能。	EventPower				4000	AddElder	1		
